candidate_id,rank,score,reasoning
CAND_0006567,1,1.5,"Demonstrates solid production experience in Search Backend, NLP, Ranking Systems over a 7.9-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0011687,2,1.5,"Strong fit with 7.8 years of experience as a Senior NLP Engineer with expertise in OpenSearch, FAISS, PEFT. Great engagement profile (89% response rate) and located in Indore, Madhya Pradesh."
CAND_0018549,3,1.5,"Demonstrates solid production experience in Weaviate, Elasticsearch, Qdrant over a 6.8-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0022127,4,1.5,"Strong fit with 5.5 years of experience as a Computer Vision Engineer with expertise in Elasticsearch, Machine Learning, Sentence Transformers. Great engagement profile (86% response rate) and located in Kolkata, West Bengal."
CAND_0041669,5,1.5,"Strong fit with 8.0 years of experience as a Recommendation Systems Engineer with expertise in FAISS, Milvus, PEFT. Great engagement profile (77% response rate) and located in Noida, Uttar Pradesh."
CAND_0046064,6,1.5,"Strong fit with 8.9 years of experience as a Senior NLP Engineer with expertise in Pinecone, OpenSearch, PEFT. Great engagement profile (78% response rate) and located in Coimbatore, Tamil Nadu."
CAND_0046525,7,1.5,"Matches founding team needs with 6.1 years of experience. Handled Elasticsearch, Machine Learning, Information Retrieval in past roles at product companies; strong candidate active in Pune, Maharashtra."
CAND_0061257,8,1.5,"Demonstrates solid production experience in PEFT, Machine Learning, Information Retrieval Systems over a 8.0-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0061265,9,1.5,"Strong fit with 6.6 years of experience as a Recommendation Systems Engineer with expertise in Qdrant, Vector Search, Hugging Face Transformers. Great engagement profile (94% response rate) and located in Delhi, Delhi."
CAND_0062247,10,1.5,"Demonstrates solid production experience in Pinecone, Vector Search, Qdrant over a 7.3-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0067866,11,1.5,"Demonstrates solid production experience in Embeddings, Elasticsearch, LoRA over a 6.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0071974,12,1.5,"Matches founding team needs with 7.8 years of experience. Handled LoRA, Weaviate, PEFT in past roles at product companies; strong candidate active in Vizag, Andhra Pradesh."
CAND_0079387,13,1.5,"Matches founding team needs with 6.9 years of experience. Handled Recommendation Systems, Sentence Transformers, Vector Search in past roles at product companies; strong candidate active in Trivandrum, Kerala."
CAND_0042100,14,1.47,"Matches founding team needs with 7.3 years of experience. Handled Elasticsearch, Recommendation Systems, Semantic Search in past roles at product companies; strong candidate active in Singapore."
CAND_0072547,15,1.4672,"Matches founding team needs with 5.1 years of experience. Handled Machine Learning, Embeddings, NLP in past roles at product companies; strong candidate active in Kolkata, West Bengal."
CAND_0030784,16,1.425,"Matches founding team needs with 4.4 years of experience. Handled Embeddings, RAG, Pinecone in past roles at product companies; strong candidate active in Delhi, Delhi."
CAND_0043693,17,1.4114,"Matches founding team needs with 6.7 years of experience. Handled Weaviate, LLMs, Vector Search in past roles at product companies; strong candidate active in Noida, Uttar Pradesh."
CAND_0005269,18,1.4,"Matches founding team needs with 6.1 years of experience. Handled Information Retrieval, Machine Learning, Hugging Face Transformers in past roles at product companies; strong candidate active in Kochi, Kerala."
CAND_0008425,19,1.4,"Matches founding team needs with 7.8 years of experience. Handled Qdrant, Sentence Transformers, NLP in past roles at product companies; strong candidate active in Kolkata, West Bengal."
CAND_0028793,20,1.4,"Strong fit with 7.2 years of experience as a Search Engineer with expertise in Embeddings, LoRA, Information Retrieval. Great engagement profile (56% response rate) and located in Trivandrum, Kerala."
CAND_0037160,21,1.4,"Strong fit with 6.0 years of experience as a Data Scientist with expertise in LLMs, Weaviate, Vector Search. Great engagement profile (74% response rate) and located in Mumbai, Maharashtra."
CAND_0016659,22,1.3922,"Demonstrates solid production experience in Sentence Transformers, Pinecone, PEFT over a 4.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0083852,23,1.3917,"Strong fit with 6.0 years of experience as a Data Scientist with expertise in Qdrant, QLoRA, Pinecone. Great engagement profile (85% response rate) and located in Ahmedabad, Gujarat."
CAND_0024990,24,1.3808,"Demonstrates solid production experience in OpenSearch, NLP, Milvus over a 5.2-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0001475,25,1.38,"Strong fit with 5.8 years of experience as a Data Engineer with expertise in LLMs, PEFT, Recommendation Systems. Great engagement profile (72% response rate) and located in San Francisco."
CAND_0053591,26,1.38,"Strong fit with 5.3 years of experience as a AI Engineer with expertise in Embeddings, Milvus, OpenSearch. Great engagement profile (81% response rate) and located in Toronto."
CAND_0002120,27,1.3789,"Strong fit with 6.5 years of experience as a ML Engineer with expertise in RAG, Hugging Face Transformers, Information Retrieval. Great engagement profile (72% response rate) and located in Berlin."
CAND_0015057,28,1.3775,"Demonstrates solid production experience in Sentence Transformers, Vector Search, Embeddings over a 4.6-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0052706,29,1.3612,"Strong fit with 5.1 years of experience as a AI Research Engineer with expertise in Pinecone, LoRA, Information Retrieval. Great engagement profile (79% response rate) and located in Coimbatore, Tamil Nadu."
CAND_0061674,30,1.3561,"Demonstrates solid production experience in Machine Learning, Embeddings, Qdrant over a 4.7-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0010685,31,1.35,"Strong fit with 6.7 years of experience as a NLP Engineer with expertise in Information Retrieval, Elasticsearch, RAG. Great engagement profile (83% response rate) and located in Kolkata, West Bengal."
CAND_0073504,32,1.3491,"Matches founding team needs with 6.6 years of experience. Handled Elasticsearch, RAG, Vector Search in past roles at product companies; strong candidate active in Gurgaon, Haryana."
CAND_0077261,33,1.3425,"Strong fit with 5.7 years of experience as a AI Specialist with expertise in Hugging Face Transformers, LoRA, Vector Search. Great engagement profile (81% response rate) and located in Chandigarh, Chandigarh."
CAND_0055905,34,1.334,"Demonstrates solid production experience in Elasticsearch, Hugging Face Transformers, LLMs over a 8.1-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0028527,35,1.3311,"Demonstrates solid production experience in Qdrant, NLP, QLoRA over a 5.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0033987,36,1.3295,"Demonstrates solid production experience in Recommendation Systems, PEFT, Fine-tuning LLMs over a 6.8-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0012837,37,1.3293,"Demonstrates solid production experience in Vector Search, Weaviate, LLMs over a 6.4-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0020991,38,1.3288,"Demonstrates solid production experience in QLoRA, LoRA, Weaviate over a 4.9-year career. Highly active on the platform and matches the required hands-on AI engineering profile."
CAND_0059795,39,1.3228,"Strong fit with 5.6 years of experience as a Senior Software Engineer (ML) with expertise in LLMs, Hugging Face Transformers, Machine Learning. Great engagement profile (75% response rate) and located in Mumbai, Maharashtra."
CAND_0049978,40,1.3206,"Matches founding team needs with 6.6 years of experience. Handled Weaviate, LoRA, Recommendation Systems in past roles at product companies; strong candidate active in Trivandrum, Kerala."
CAND_0022463,41,1.3191,"Strong fit with 6.5 years of experience as a Junior ML Engineer with expertise in Sentence Transformers, LoRA, Embeddings. Great engagement profile (73% response rate) and located in Toronto."
CAND_0012805,42,1.3172,"Matches founding team needs with 4.9 years of experience. Handled LoRA, QLoRA, Qdrant in past roles at product companies; strong candidate active in Ahmedabad, Gujarat."
